body,mass,x,y,z,vx,vy,vz
Body1,1.0,0.97000436,-0.24308753,0.0,0.466203685,0.43236573,0.0
Body2,1.0,-0.97000436,0.24308753,0.0,0.466203685,0.43236573,0.0
Body3,1.0,0.0,0.0,0.0,-0.93240737,-0.86473146,0.0
