body,mass,x,y,z,vx,vy,vz
Sun,1.9885e30,0.0,0.0,0.0,0.0,0.0,0.0
Earth,5.9726e24,1.496e11,0.0,0.0,0.0,3.000E4,0.0
#Moon,7.348e22,1.500e11,0.0,0.0,0.0,3.500e4,0.0
